cohort_week,cohort_week_start,cohort_size,rel_week,retained_users,retention_pct
0,2020-11-01,16926,0,16926,100.0
0,2020-11-01,16926,1,699,4.13
0,2020-11-01,16926,2,312,1.84
0,2020-11-01,16926,3,197,1.16
0,2020-11-01,16926,4,200,1.18
0,2020-11-01,16926,5,170,1.0
0,2020-11-01,16926,6,108,0.64
0,2020-11-01,16926,7,42,0.25
0,2020-11-01,16926,8,26,0.15
1,2020-11-08,14544,0,14544,100.0
1,2020-11-08,14544,1,788,5.42
1,2020-11-08,14544,2,340,2.34
1,2020-11-08,14544,3,249,1.71
1,2020-11-08,14544,4,246,1.69
1,2020-11-08,14544,5,139,0.96
1,2020-11-08,14544,6,68,0.47
1,2020-11-08,14544,7,35,0.24
1,2020-11-08,14544,8,45,0.31
2,2020-11-15,16585,0,16585,100.0
2,2020-11-15,16585,1,873,5.26
2,2020-11-15,16585,2,468,2.82
2,2020-11-15,16585,3,338,2.04
2,2020-11-15,16585,4,242,1.46
2,2020-11-15,16585,5,100,0.6
2,2020-11-15,16585,6,50,0.3
2,2020-11-15,16585,7,61,0.37
2,2020-11-15,16585,8,53,0.32
3,2020-11-22,18301,0,18301,100.0
3,2020-11-22,18301,1,869,4.75
3,2020-11-22,18301,2,379,2.07
3,2020-11-22,18301,3,262,1.43
3,2020-11-22,18301,4,108,0.59
3,2020-11-22,18301,5,68,0.37
3,2020-11-22,18301,6,80,0.44
3,2020-11-22,18301,7,69,0.38
3,2020-11-22,18301,8,57,0.31
4,2020-11-29,21112,0,21112,100.0
4,2020-11-29,21112,1,1074,5.09
4,2020-11-29,21112,2,450,2.13
4,2020-11-29,21112,3,158,0.75
4,2020-11-29,21112,4,118,0.56
4,2020-11-29,21112,5,120,0.57
4,2020-11-29,21112,6,95,0.45
4,2020-11-29,21112,7,67,0.32
4,2020-11-29,21112,8,69,0.33
